,00_accX,00_accY,00_accZ,00_gyroX,00_gyroY,00_gyroZ,01_accX,01_accY,01_accZ,01_gyroX,01_gyroY,01_gyroZ,02_accX,02_accY,02_accZ,02_gyroX,02_gyroY,02_gyroZ,03_accX,03_accY,03_accZ,03_gyroX,03_gyroY,03_gyroZ,04_accX,04_accY,04_accZ,04_gyroX,04_gyroY,04_gyroZ,05_accX,05_accY,05_accZ,05_gyroX,05_gyroY,05_gyroZ,06_accX,06_accY,06_accZ,06_gyroX,06_gyroY,06_gyroZ,07_accX,07_accY,07_accZ,07_gyroX,07_gyroY,07_gyroZ,08_accX,08_accY,08_accZ,08_gyroX,08_gyroY,08_gyroZ,09_accX,09_accY,09_accZ,09_gyroX,09_gyroY,09_gyroZ,10_accX,10_accY,10_accZ,10_gyroX,10_gyroY,10_gyroZ,11_accX,11_accY,11_accZ,11_gyroX,11_gyroY,11_gyroZ,12_accX,12_accY,12_accZ,12_gyroX,12_gyroY,12_gyroZ,13_accX,13_accY,13_accZ,13_gyroX,13_gyroY,13_gyroZ,14_accX,14_accY,14_accZ,14_gyroX,14_gyroY,14_gyroZ,15_accX,15_accY,15_accZ,15_gyroX,15_gyroY,15_gyroZ,16_accX,16_accY,16_accZ,16_gyroX,16_gyroY,16_gyroZ,17_accX,17_accY,17_accZ,17_gyroX,17_gyroY,17_gyroZ,18_accX,18_accY,18_accZ,18_gyroX,18_gyroY,18_gyroZ,19_accX,19_accY,19_accZ,19_gyroX,19_gyroY,19_gyroZ,20_accX,20_accY,20_accZ,20_gyroX,20_gyroY,20_gyroZ,21_accX,21_accY,21_accZ,21_gyroX,21_gyroY,21_gyroZ,22_accX,22_accY,22_accZ,22_gyroX,22_gyroY,22_gyroZ,23_accX,23_accY,23_accZ,23_gyroX,23_gyroY,23_gyroZ,24_accX,24_accY,24_accZ,24_gyroX,24_gyroY,24_gyroZ,25_accX,25_accY,25_accZ,25_gyroX,25_gyroY,25_gyroZ,26_accX,26_accY,26_accZ,26_gyroX,26_gyroY,26_gyroZ,27_accX,27_accY,27_accZ,27_gyroX,27_gyroY,27_gyroZ,28_accX,28_accY,28_accZ,28_gyroX,28_gyroY,28_gyroZ,29_accX,29_accY,29_accZ,29_gyroX,29_gyroY,29_gyroZ,30_accX,30_accY,30_accZ,30_gyroX,30_gyroY,30_gyroZ,31_accX,31_accY,31_accZ,31_gyroX,31_gyroY,31_gyroZ,32_accX,32_accY,32_accZ,32_gyroX,32_gyroY,32_gyroZ,33_accX,33_accY,33_accZ,33_gyroX,33_gyroY,33_gyroZ,34_accX,34_accY,34_accZ,34_gyroX,34_gyroY,34_gyroZ,35_accX,35_accY,35_accZ,35_gyroX,35_gyroY,35_gyroZ,36_accX,36_accY,36_accZ,36_gyroX,36_gyroY,36_gyroZ,37_accX,37_accY,37_accZ,37_gyroX,37_gyroY,37_gyroZ,38_accX,38_accY,38_accZ,38_gyroX,38_gyroY,38_gyroZ,39_accX,39_accY,39_accZ,39_gyroX,39_gyroY,39_gyroZ,40_accX,40_accY,40_accZ,40_gyroX,40_gyroY,40_gyroZ,41_accX,41_accY,41_accZ,41_gyroX,41_gyroY,41_gyroZ,42_accX,42_accY,42_accZ,42_gyroX,42_gyroY,42_gyroZ,43_accX,43_accY,43_accZ,43_gyroX,43_gyroY,43_gyroZ,44_accX,44_accY,44_accZ,44_gyroX,44_gyroY,44_gyroZ,45_accX,45_accY,45_accZ,45_gyroX,45_gyroY,45_gyroZ,46_accX,46_accY,46_accZ,46_gyroX,46_gyroY,46_gyroZ,47_accX,47_accY,47_accZ,47_gyroX,47_gyroY,47_gyroZ,48_accX,48_accY,48_accZ,48_gyroX,48_gyroY,48_gyroZ,49_accX,49_accY,49_accZ,49_gyroX,49_gyroY,49_gyroZ,50_accX,50_accY,50_accZ,50_gyroX,50_gyroY,50_gyroZ,51_accX,51_accY,51_accZ,51_gyroX,51_gyroY,51_gyroZ,52_accX,52_accY,52_accZ,52_gyroX,52_gyroY,52_gyroZ,53_accX,53_accY,53_accZ,53_gyroX,53_gyroY,53_gyroZ,54_accX,54_accY,54_accZ,54_gyroX,54_gyroY,54_gyroZ,55_accX,55_accY,55_accZ,55_gyroX,55_gyroY,55_gyroZ,56_accX,56_accY,56_accZ,56_gyroX,56_gyroY,56_gyroZ,57_accX,57_accY,57_accZ,57_gyroX,57_gyroY,57_gyroZ,58_accX,58_accY,58_accZ,58_gyroX,58_gyroY,58_gyroZ,59_accX,59_accY,59_accZ,59_gyroX,59_gyroY,59_gyroZ,60_accX,60_accY,60_accZ,60_gyroX,60_gyroY,60_gyroZ,61_accX,61_accY,61_accZ,61_gyroX,61_gyroY,61_gyroZ,62_accX,62_accY,62_accZ,62_gyroX,62_gyroY,62_gyroZ,63_accX,63_accY,63_accZ,63_gyroX,63_gyroY,63_gyroZ,64_accX,64_accY,64_accZ,64_gyroX,64_gyroY,64_gyroZ,65_accX,65_accY,65_accZ,65_gyroX,65_gyroY,65_gyroZ,66_accX,66_accY,66_accZ,66_gyroX,66_gyroY,66_gyroZ,67_accX,67_accY,67_accZ,67_gyroX,67_gyroY,67_gyroZ,68_accX,68_accY,68_accZ,68_gyroX,68_gyroY,68_gyroZ,69_accX,69_accY,69_accZ,69_gyroX,69_gyroY,69_gyroZ,70_accX,70_accY,70_accZ,70_gyroX,70_gyroY,70_gyroZ,71_accX,71_accY,71_accZ,71_gyroX,71_gyroY,71_gyroZ,72_accX,72_accY,72_accZ,72_gyroX,72_gyroY,72_gyroZ,73_accX,73_accY,73_accZ,73_gyroX,73_gyroY,73_gyroZ,74_accX,74_accY,74_accZ,74_gyroX,74_gyroY,74_gyroZ,75_accX,75_accY,75_accZ,75_gyroX,75_gyroY,75_gyroZ,76_accX,76_accY,76_accZ,76_gyroX,76_gyroY,76_gyroZ,77_accX,77_accY,77_accZ,77_gyroX,77_gyroY,77_gyroZ,78_accX,78_accY,78_accZ,78_gyroX,78_gyroY,78_gyroZ,79_accX,79_accY,79_accZ,79_gyroX,79_gyroY,79_gyroZ,category
accX,0.0,0.0,0.0,0.0,1.9780000000000002,0.0,0.0,0.0,0.0,0.0,2.274,0.0,0.0,0.0,0.0,0.0,2.367,0.0,0.0,0.6559999999999999,0.0,0.0,2.412,0.0,-0.789,0.0,0.0,0.777,2.698,0.564,-0.7340000000000001,1.16,0.0,1.092,2.8689999999999998,0.0,-0.623,0.893,0.0,1.755,3.0860000000000003,0.0,0.601,0.0,0.0,2.051,3.927,0.0,0.745,0.998,-1.177,1.952,4.113,0.0,0.0,1.874,-0.61,1.972,4.111000000000001,0.0,-0.9390000000000001,1.213,0.0,2.229,4.467,0.0,-1.5919999999999999,4.238,0.0,2.642,5.13,0.0,-0.5720000000000001,4.771,0.0,2.924,6.148,0.0,1.8940000000000001,5.234,0.5529999999999999,3.097,6.2170000000000005,0.0,1.724,5.227,0.0,3.089,5.101,0.0,1.462,3.9810000000000003,-1.7630000000000001,2.905,4.329,0.0,1.4909999999999999,3.513,-2.421,2.094,3.6919999999999997,-0.503,0.905,3.3939999999999997,-1.6269999999999998,1.135,2.7260000000000004,-0.794,0.0,3.96,-0.965,0.53,1.86,-0.73,-1.033,4.216,-0.993,0.0,1.436,0.0,-0.8490000000000001,3.782,-1.022,0.0,1.483,0.0,0.0,3.34,-0.903,0.0,1.37,0.0,0.0,3.27,-1.01,0.0,0.924,0.0,0.0,3.053,-0.713,0.0,0.0,0.0,-0.93,3.609,0.0,0.0,0.0,0.0,-1.014,3.471,-0.662,0.0,0.612,0.0,0.0,3.327,-0.847,0.0,1.063,0.0,0.534,2.764,-0.812,0.0,1.08,0.0,1.0,2.6919999999999997,-0.705,0.0,0.5710000000000001,0.0,1.0490000000000002,1.912,0.0,-0.518,0.0,0.0,0.0,4.4030000000000005,0.0,-1.032,-1.17,0.0,-1.2009999999999998,4.248,0.0,-0.684,-0.61,0.0,-0.9329999999999999,3.923,0.0,0.0,0.0,0.0,0.539,3.3960000000000004,0.0,0.0,0.0,0.0,1.6380000000000001,3.0869999999999997,0.0,-0.601,-0.6609999999999999,0.0,1.9809999999999999,3.1860000000000004,0.0,-1.075,-1.74,0.0,0.624,4.752,0.664,-1.121,-2.364,0.0,-0.9440000000000001,4.349,0.603,-1.063,-1.841,0.0,-1.45,6.362,0.0,0.0,-1.04,0.0,-0.768,5.787999999999999,0.0,0.0,-0.594,0.511,0.0,4.4910000000000005,-0.648,0.0,-0.895,0.688,0.0,5.593999999999999,-0.546,-0.723,-1.318,0.0,0.0,5.189,0.0,-0.951,-1.594,0.0,0.0,5.709,0.0,-0.767,-1.59,0.0,0.0,5.527,0.0,-0.711,-1.546,0.0,0.0,5.422000000000001,0.0,-0.72,-1.67,0.0,0.0,5.1579999999999995,0.0,-0.8370000000000001,-1.838,0.0,0.0,4.713,0.0,-0.96,-1.736,0.0,0.0,4.468999999999999,0.0,-1.03,-1.6740000000000002,0.0,0.6609999999999999,4.101,0.0,-1.104,-1.681,0.0,1.25,3.576,0.556,-1.2329999999999999,-1.949,0.0,2.025,2.9389999999999996,0.615,-1.409,-2.528,0.0,2.066,2.478,1.069,-1.6159999999999999,-3.2880000000000003,0.0,1.3230000000000002,2.252,1.3130000000000002,-1.6769999999999998,-3.6630000000000003,-0.532,0.605,1.854,1.014,-1.5219999999999998,-3.326,-0.7020000000000001,0.0,2.221,0.757,-0.871,-2.075,-0.652,0.0,2.3,0.0,0.0,-1.3619999999999999,-0.53,0.0,1.775,0.0,0.0,-1.1440000000000001,0.0,0.604,2.9360000000000004,0.0,-0.9740000000000001,-1.2790000000000001,0.0,0.735,0.809,0.0,-0.737,-1.996,-0.657,0.0,0.7340000000000001,0.0,-0.882,-2.674,-0.6829999999999999,0.0,0.655,0.937,-0.9690000000000001,-2.935,-0.62,-0.8809999999999999,0.8079999999999999,1.199,-0.955,-2.818,0.0,-1.1909999999999998,1.271,1.196,-0.863,-2.388,0.0,0.0,0.0,1.0,-0.677,-1.995,0.0,0.0,0.0,0.92,-0.5920000000000001,-1.896,0.0,0.0,0.0,0.9079999999999999,0.0,-1.74,0.0,-0.836,0.0,0.86,0.0,-1.4240000000000002,0.0,0.0,1.6580000000000001,0.0,0.0,-1.138,0.0,1.0290000000000001,-1.0170000000000001,-0.635,-0.5710000000000001,-1.517,0.0,1.123,0.0,0.0,-1.268,-2.086,0.812,0.0,1.8430000000000002,0.0,-0.955,-1.617,0.0,0.0,2.315,-0.9209999999999999,0.0,-0.551,0.0,0.0,0.0,-1.4169999999999998,0.0,0.0,0.0,1.0070000000000001,0.0,-1.413,0.0,0.0,0.513,0.0,0.657,-1.217,0.0,-0.516,0.0,0.0,1.167,-1.5230000000000001,0.0,0.0,0.0,-0.627,0.797,-1.8219999999999998,0.0,0.0,0.7020000000000001,0.0,0.537,-1.817,0.0,0.0,0.924,0.0,0.625,-1.5590000000000002,0.0,0.0,0.912,rotateLeft
accX,0.7070000000000001,-1.641,1.0659999999999998,-0.96,0.0,0.0,0.0,-1.153,0.915,-0.938,0.0,0.0,0.0,0.0,0.787,-0.755,0.0,0.0,0.0,-1.133,0.7190000000000001,0.0,0.0,0.0,0.0,-1.237,0.0,0.0,0.0,0.0,0.0,-1.537,0.0,0.0,0.0,0.0,0.0,-1.401,0.0,0.0,0.0,0.0,0.0,-0.792,0.0,0.0,0.0,0.0,-0.884,-0.895,0.8290000000000001,0.0,0.0,0.0,-1.026,-1.185,1.022,0.0,0.584,0.0,-0.7929999999999999,-1.735,0.5489999999999999,0.0,0.634,0.0,-0.9059999999999999,-1.264,0.0,0.0,0.0,0.0,-1.554,0.0,0.0,0.0,0.0,0.0,-3.555,-0.624,0.8079999999999999,1.0590000000000002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotateLeft
accX,0.0,-0.893,0.0,-0.8140000000000001,0.0,0.0,0.0,-1.014,0.545,-0.821,0.0,0.0,0.0,-1.235,1.0190000000000001,-0.8109999999999999,0.0,0.0,0.0,-1.3869999999999998,0.693,-0.747,0.0,0.0,0.0,-1.446,0.0,-0.593,0.0,0.0,0.0,-1.472,0.0,0.0,0.0,0.0,0.8170000000000001,-1.631,0.0,0.0,0.0,0.0,0.738,-2.0069999999999997,0.0,0.0,0.0,0.0,0.59,-1.896,0.626,0.0,0.523,0.0,0.635,-1.617,0.82,0.0,0.615,0.0,0.0,-1.795,1.385,0.0,0.746,0.0,0.0,-2.162,0.843,0.0,0.748,-0.563,-0.995,-2.252,0.517,0.0,0.0,0.0,-2.275,-1.109,0.0,0.0,0.0,0.0,-3.8,0.0,1.055,1.1420000000000001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotateLeft
accX,0.0,-1.801,0.0,-1.127,0.0,0.0,0.768,-1.87,0.0,-1.317,0.0,0.0,1.162,-1.3719999999999999,0.0,-1.3419999999999999,0.0,0.0,0.0,-0.943,0.523,-0.976,0.0,-0.503,0.0,-1.5219999999999998,0.568,-0.52,0.0,0.0,0.0,-1.702,0.0,0.0,0.0,0.0,0.0,-1.4980000000000002,0.0,0.0,0.0,0.0,-0.843,-2.156,0.6779999999999999,0.0,0.696,0.0,-0.9109999999999999,-1.5759999999999998,0.782,0.0,0.887,0.0,-1.367,-1.6880000000000002,0.0,0.727,0.772,0.0,-2.134,-1.6840000000000002,0.594,1.006,0.0,0.0,-3.105,-1.555,0.0,0.8220000000000001,0.0,0.0,-4.743,0.0,0.503,0.8170000000000001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotateLeft
accX,2.096,-1.435,-0.8590000000000001,-0.9229999999999999,0.0,0.0,1.847,-1.484,-0.9440000000000001,-1.2209999999999999,0.0,0.0,1.535,-0.757,0.0,-1.339,0.0,0.0,1.087,0.0,0.0,-1.038,0.0,0.0,0.7120000000000001,-0.898,0.0,-0.532,0.0,0.0,0.809,-1.469,0.0,0.0,0.0,0.0,0.777,-1.87,0.0,0.0,0.579,0.0,0.589,-2.231,0.0,0.0,0.685,0.0,0.0,-1.714,0.0,0.0,0.529,0.0,-1.156,-1.204,0.508,0.0,0.76,0.0,-1.5959999999999999,-2.326,-1.095,0.578,1.057,0.0,-1.7409999999999999,-2.421,0.0,0.0,1.415,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotateLeft
accX,2.8,-0.61,-2.636,-0.866,0.0,0.0,2.597,-0.563,-2.055,-1.149,0.0,0.0,1.631,0.621,-0.988,-0.851,0.0,0.0,0.8640000000000001,0.0,0.0,-0.532,0.0,0.0,0.0,-0.758,0.0,0.0,0.0,0.0,0.0,-1.0959999999999999,0.0,0.0,0.552,0.0,0.0,-1.1,0.0,0.0,0.701,0.0,-0.5720000000000001,-1.229,0.657,0.0,0.679,0.0,-1.464,-1.338,0.523,0.529,0.5539999999999999,0.0,-3.398,-1.347,0.0,0.738,0.61,0.536,-4.317,-0.789,0.0,1.222,0.568,1.1909999999999998,-3.904,-1.9180000000000001,1.959,0.6729999999999999,0.0,1.1340000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotateLeft
accX,2.595,-0.998,-2.086,-0.85,0.0,0.703,2.95,-0.718,-0.922,-1.1909999999999998,0.0,0.0,2.5269999999999997,0.0,0.0,-1.185,0.0,0.0,1.845,0.0,0.0,-1.112,0.0,0.0,0.992,-0.982,0.0,-0.785,0.0,0.0,0.584,-1.594,0.0,-0.6559999999999999,0.0,0.0,0.6579999999999999,-1.493,0.0,-0.5429999999999999,0.0,0.0,0.0,-1.443,0.8109999999999999,0.0,0.0,0.0,0.0,-2.025,0.6609999999999999,0.0,0.513,0.0,-1.264,-1.861,1.161,0.59,0.747,0.0,-1.196,-2.702,0.0,0.6759999999999999,0.746,0.0,-2.786,-1.72,0.0,0.8059999999999999,0.519,0.0,-3.702,-1.579,1.235,0.998,0.0,0.0,-5.791,-1.107,1.515,0.993,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotateLeft
accX,1.982,0.0,-3.3169999999999997,-0.508,0.0,0.6509999999999999,2.676,0.75,-2.909,-0.752,0.0,0.5820000000000001,2.392,0.0,-2.294,-0.797,0.0,0.0,1.8659999999999999,0.0,-1.756,-0.855,0.0,0.0,1.7719999999999998,0.0,-1.4240000000000002,-0.54,0.0,0.0,1.952,0.0,-1.187,0.0,0.598,0.0,1.895,-0.606,-0.716,0.0,0.609,0.0,1.222,-1.061,0.0,0.0,0.5329999999999999,0.0,0.0,-1.246,0.0,0.0,0.61,0.0,-0.7,-1.6269999999999998,0.0,0.0,0.624,0.0,-1.976,-0.992,0.763,0.0,0.579,0.0,-2.6060000000000003,-1.1840000000000002,1.143,0.985,0.685,0.0,-3.088,-1.551,1.6540000000000001,1.262,0.569,0.0,-3.365,-3.0580000000000003,1.321,0.9,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotateLeft
accX,1.053,0.0,-1.403,-0.925,0.0,0.0,0.835,0.0,-0.9590000000000001,-0.981,0.0,0.0,0.5660000000000001,-0.552,-0.986,-0.847,0.0,0.0,0.0,0.0,-0.96,-0.6970000000000001,0.0,0.0,0.0,-0.8390000000000001,-0.597,-0.616,0.0,0.0,0.628,-0.893,0.0,0.0,0.0,0.0,0.0,-0.982,0.0,0.0,0.0,0.0,-0.636,-1.5190000000000001,0.0,0.0,0.0,0.0,0.0,-2.051,0.0,0.0,0.633,0.0,0.638,-1.6030000000000002,1.094,0.0,0.0,0.0,-0.63,-0.985,1.385,0.948,0.0,0.503,-2.7430000000000003,-1.902,1.1540000000000001,0.973,0.604,0.605,-2.492,-1.5619999999999998,1.865,1.053,0.871,0.604,-2.497,-0.598,1.662,0.95,0.0,0.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotateLeft
accX,2.329,0.0,-2.464,-0.8490000000000001,0.0,0.0,1.194,1.541,-1.95,-1.109,0.0,0.0,0.545,1.097,-1.954,-0.728,0.0,0.0,0.0,0.703,-1.4780000000000002,0.0,0.0,0.0,0.737,0.0,-1.099,0.0,0.0,0.0,0.546,-1.173,-1.238,0.0,0.0,0.0,0.767,-1.297,-1.081,0.0,0.0,0.0,0.72,-1.2009999999999998,0.0,0.0,0.0,0.0,0.6559999999999999,-1.357,0.0,0.0,0.0,0.0,1.239,-1.983,0.596,0.0,0.0,0.0,0.94,-2.044,0.0,0.0,0.0,0.0,-0.7070000000000001,-1.345,0.6629999999999999,0.6659999999999999,0.0,0.0,-1.073,-3.18,0.8,0.86,0.7979999999999999,0.0,0.0,-2.905,0.821,0.0,0.883,0.0,-1.9180000000000001,-2.066,1.605,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotateLeft
