timestamp, accX, accY, gyroZ, button
1220, -0.014652014652014652, -0.029304029304029304, 0.03125, 0.0
1221, 0.009768009768009768, -0.017094017094017096, 0.03125, 0.0
1222, -0.004884004884004884, -0.050061050061050064, 0.03125, 0.0
1, -0.028083028083028084, -0.03296703296703297, 0.03125, 0.0
2, -0.01098901098901099, -0.02442002442002442, 0.03125, 0.0
3, -0.001221001221001221, -0.018315018315018316, 0.03125, 0.0
4, 0.003663003663003663, -0.047619047619047616, 0.03125, 0.0
5, 0.008547008547008548, -0.04395604395604396, 0.03125, 0.0
6, -0.02197802197802198, -0.02442002442002442, 0.03125, 0.0
7, -0.04151404151404151, -0.013431013431013432, 0.03125, 0.0
8, -0.017094017094017096, -0.0231990231990232, 0.03125, 0.0
9, 0.014652014652014652, -0.018315018315018316, 0.03125, 0.0
10, 0.008547008547008548, -0.05860805860805861, 0.03125, 0.0
11, -0.014652014652014652, -0.047619047619047616, 0.03125, 0.0
12, -0.02564102564102564, -0.047619047619047616, 0.03125, 0.0
13, -0.006105006105006105, -0.040293040293040296, 0.03125, 0.0
14, -0.013431013431013432, -0.02442002442002442, 0.03125, 0.0
15, -0.007326007326007326, -0.02197802197802198, 0.03125, 0.0
16, -0.006105006105006105, -0.0231990231990232, 0.03125, 0.0
17, 0.0, -0.02564102564102564, 0.03125, 0.0
18, -0.002442002442002442, -0.02197802197802198, 0.03125, 0.0
19, 0.0, -0.019536019536019536, 0.03125, 0.0
20, -0.030525030525030524, -0.03418803418803419, 0.03125, 0.0
21, -0.03418803418803419, -0.03785103785103785, 0.03125, 0.0
22, -0.01221001221001221, -0.050061050061050064, 0.03125, 0.0
23, 0.007326007326007326, -0.031746031746031744, 0.03125, 0.0
24, -0.002442002442002442, -0.02197802197802198, 0.03125, 0.0
25, 0.001221001221001221, -0.028083028083028084, 0.03125, 0.0
26, -0.02197802197802198, -0.018315018315018316, 0.03125, 0.0
27, -0.009768009768009768, -0.02564102564102564, 0.03125, 0.0
28, -0.001221001221001221, -0.030525030525030524, 0.03125, 0.0
29, -0.001221001221001221, -0.02564102564102564, 0.03125, 0.0
30, -0.001221001221001221, -0.028083028083028084, 0.03125, 0.0
31, -0.007326007326007326, -0.018315018315018316, 0.03125, 0.0
32, -0.009768009768009768, -0.02564102564102564, 0.0625, 0.0
33, -0.015873015873015872, -0.026862026862026864, 0.0625, 0.0
34, -0.002442002442002442, -0.03540903540903541, 0.03125, 0.0
35, 0.006105006105006105, -0.057387057387057384, 0.03125, 0.0
36, 0.0, -0.026862026862026864, 0.03125, 0.0
37, -0.03907203907203907, -0.020757020757020756, 0.03125, 0.0
38, -0.01221001221001221, -0.013431013431013432, 0.03125, 0.0
39, -0.002442002442002442, -0.029304029304029304, 0.03125, 0.0
40, 0.003663003663003663, -0.050061050061050064, 0.03125, 0.0
41, 0.006105006105006105, -0.02442002442002442, 0.03125, 0.0
42, -0.006105006105006105, -0.0231990231990232, 0.03125, 0.0
43, -0.02564102564102564, -0.009768009768009768, 0.03125, 0.0
