timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, button
638, 0.36752136752136755, -0.1282051282051282, -0.4652014652014652, 0.15625, -0.03125, -0.375, 0.0
639, 0.29181929181929184, -0.10256410256410256, -0.6153846153846154, 0.15625, -0.09375, -0.4375, 0.0
640, 0.4896214896214896, -0.17704517704517705, -0.6874236874236874, 0.09375, -0.15625, -0.53125, 0.0
641, 0.231990231990232, -0.05128205128205128, -0.5384615384615384, 0.0625, -0.3125, -0.625, 0.0
1, -0.1855921855921856, 0.03663003663003663, -0.4810744810744811, 0.125, -0.3125, -0.625, 0.0
2, -0.16117216117216118, -0.08058608058608059, -0.4371184371184371, 0.1875, -0.125, -0.5625, 0.0
3, 0.10500610500610501, -0.38461538461538464, -0.4908424908424908, 0.15625, -0.03125, -0.5625, 0.0
4, 0.315018315018315, -0.4481074481074481, -0.38461538461538464, 0.0625, -0.03125, -0.625, 0.0
5, 0.08669108669108669, -0.14163614163614163, -0.11965811965811966, 0.0625, -0.0625, -0.625, 0.0
6, 0.12942612942612944, -0.2222222222222222, -0.15262515262515264, 0.03125, -0.15625, -0.625, 0.0
7, -0.003663003663003663, -0.14285714285714285, -0.14285714285714285, 0.0, -0.28125, -0.625, 0.0
8, -0.37484737484737485, -0.03418803418803419, -0.14774114774114774, 0.0, -0.1875, -0.5625, 0.0
9, -0.5274725274725275, -0.028083028083028084, -0.07326007326007326, 0.0, 0.0, -0.4375, 0.0
10, -0.03785103785103785, 0.002442002442002442, 0.03418803418803419, 0.0625, 0.09375, -0.375, 0.0
11, 0.14407814407814407, -0.06105006105006105, 0.04151404151404151, 0.0625, 0.03125, -0.375, 0.0
12, 0.34065934065934067, -0.20146520146520147, -0.08547008547008547, 0.0, -0.09375, -0.40625, 0.0
13, 0.20512820512820512, -0.17826617826617827, -0.3235653235653236, -0.03125, -0.15625, -0.4375, 0.0
14, -0.15506715506715507, 0.001221001221001221, -0.1855921855921856, -0.0625, -0.03125, -0.40625, 0.0
15, -0.16727716727716727, 0.23931623931623933, -0.052503052503052504, 0.0, 0.09375, -0.3125, 0.0
16, 0.11233211233211234, 0.04884004884004884, -0.03540903540903541, 0.0625, 0.09375, -0.28125, 0.0
17, 0.41147741147741146, -0.1794871794871795, -0.04151404151404151, 0.0, -0.03125, -0.34375, 0.0
18, 0.43345543345543347, 0.002442002442002442, 0.0231990231990232, -0.03125, -0.21875, -0.4375, 0.0
19, 0.2893772893772894, 0.16971916971916973, 0.199023199023199, 0.0, -0.3125, -0.5, 0.0
20, 0.231990231990232, 0.33943833943833945, 0.23687423687423687, 0.125, -0.3125, -0.5, 0.0
21, 0.17704517704517705, 0.19291819291819293, -0.10989010989010989, 0.28125, -0.28125, -0.5, 0.0
22, 0.3711843711843712, -0.030525030525030524, -0.5653235653235653, 0.28125, -0.3125, -0.5, 0.0
23, 0.4297924297924298, 0.018315018315018316, -0.7326007326007326, 0.3125, -0.40625, -0.53125, 0.0
24, 0.16605616605616605, 0.3601953601953602, -0.6727716727716728, 0.40625, -0.4375, -0.53125, 0.0
25, -0.1746031746031746, 0.7081807081807082, -0.6532356532356532, 0.5625, -0.4375, -0.40625, 0.0
26, -0.46642246642246643, 0.8913308913308914, -0.5164835164835165, 0.875, -0.375, -0.125, 0.0
27, -0.7228327228327228, 0.11965811965811966, -0.5238095238095238, 1.0, -0.1875, -0.03125, 0.0
28, -0.21978021978021978, -0.12087912087912088, -0.43101343101343104, 1.0625, 0.0, 0.09375, 0.0
29, 0.47863247863247865, -0.48595848595848595, -0.19413919413919414, 1.09375, 0.03125, 0.1875, 0.0
30, 0.5543345543345544, -0.6532356532356532, 0.07326007326007326, 1.0, -0.1875, 0.1875, 0.0
31, 0.3492063492063492, -0.5946275946275946, 0.39194139194139194, 0.84375, -0.4375, 0.15625, 0.0
32, -0.1514041514041514, -1.1025641025641026, 0.1807081807081807, 0.625, -0.53125, 0.0625, 0.0
33, -0.7057387057387058, -0.7997557997557998, 0.21978021978021978, 0.1875, -0.15625, -0.1875, 0.0
34, -0.6654456654456654, -0.304029304029304, 0.5702075702075702, -0.21875, 0.21875, -0.03125, 0.0
35, -0.10989010989010989, 0.030525030525030524, 1.0354090354090355, -0.34375, 0.3125, 0.0, 0.0
36, -0.001221001221001221, 0.08669108669108669, 1.0866910866910866, -0.21875, 0.0625, 0.0, 0.0
37, -0.23076923076923078, -0.06593406593406594, 0.6874236874236874, -0.1875, -0.125, 0.0, 0.0
38, -0.3882783882783883, -0.21123321123321123, 0.17826617826617827, -0.21875, -0.0625, 0.0, 0.0
39, -0.20634920634920634, -0.2503052503052503, -0.15018315018315018, -0.3125, 0.1875, -0.09375, 0.0
40, -0.07936507936507936, 0.16361416361416362, 0.06593406593406594, -0.4375, 0.4375, -0.09375, 0.0
41, 0.12698412698412698, 0.31135531135531136, 0.24664224664224665, -0.40625, 0.4375, 0.0, 0.0
42, 0.19413919413919414, 0.3882783882783883, 0.30158730158730157, -0.34375, 0.1875, 0.0, 0.0
43, -0.18192918192918192, 0.5860805860805861, 0.25396825396825395, -0.1875, 0.0, 0.0, 0.0
44, -0.39438339438339437, 0.463980463980464, 0.11965811965811966, 0.0, -0.03125, 0.0625, 0.0
45, -0.11965811965811966, 0.18315018315018314, -0.13797313797313798, 0.0625, -0.03125, 0.09375, 0.0
46, 0.16727716727716727, -0.02442002442002442, -0.3992673992673993, 0.0, -0.09375, 0.125, 0.0
